"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","24/1269","105/9376",0.228571428571429,1.68879882922436,2.8080841746894,0.0061211541149935,0.0383578310011738,0.0291738903264176,"SNTB1/CACNG8/ITGA2/SLC8A3/AGT/CACNA1D/ITGA11/ITGB8/TNNI3/SGCG/LAMA1/ADCY5/ITGA8/PRKACB/ITGB7/CACNG5/TNNT2/CACNG4/ADRB1/MYL3/NOS1/SGCA/SLC8A2/TPM2",24
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","5/1269","10/9376",0.5,3.69424743892829,3.37245966929967,0.00629107682097707,0.0383578310011738,0.0291738903264176,"ETHE1/SQOR/TST/PAPSS2/SELENBP1",5
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","29/1269","134/9376",0.216417910447761,1.59900262281971,2.76302302386933,0.00630024772411075,0.0383578310011738,0.0291738903264176,"EDNRA/AGT/CACNA1D/GNA11/AVPR1B/EDN3/ADCY5/ADRA1A/PRKACB/PRKCB/PLCB4/CALML3/EDN2/PRKCG/PLA2G2D/MYLK2/PLA2G4E/PLA2G3/MYH11/MYLK/PPP1R14A/KCNMB2/KCNMA1/MYL9/ACTG2/CALCA/AGTR1/PLA2G5/KCNMB1",29
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","11/1269","36/9376",0.305555555555556,2.25759565712284,2.99092280368301,0.00631906464470204,0.0383578310011738,0.0291738903264176,"MCM6/MCM3/RFC3/MCM7/POLD2/RNASEH2A/MCM2/DNA2/FEN1/MCM4/PCNA",11
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","13/1269","46/9376",0.282608695652174,2.08805290026382,2.92667479679802,0.00648695476655501,0.0386980405039316,0.0294326441313748,"UGT1A9/UGT1A10/UGT1A1/UGT1A8/UGT1A4/UGT1A7/UGT1A3/UGT1A5/CP/UGT1A6/UGT2A3/HEPHL1/UGT2B10",13
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","23/1269","101/9376",0.227722772277228,1.6825285365416,2.72841799018074,0.00753305073966005,0.0441768738291929,0.0335996910778771,"WNT2/WNT3/WNT5A/LEF1/CREB3L3/WNT7B/CAMK2B/ADCY5/PRKACB/PRKCB/PLCB4/TCF7/CALML3/KIT/FZD9/WNT11/PRKCG/POMC/FZD10/CAMK2A/WNT1/GNAO1/WNT6",23
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","11/1269","37/9376",0.297297297297297,2.19657955828169,2.88521788991932,0.00791689168035421,0.0456540753567093,0.0347232091243606,"CAD/PPAT/RIMKLA/GPT2/GAD1/GLS2/ALDH4A1/ASPA/GPT/CPS1/FOLH1",11
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","23/1269","102/9376",0.225490196078431,1.66603315873237,2.67576983881196,0.00851585881360489,0.0483030680247097,0.0367379586436794,"CA2/CEL/CLCA4/SLC12A2/ADCY5/SLC4A4/SLC26A3/SCTR/ATP1A3/PRKCB/PLCB4/ATP1A2/ATP2B2/PRKCG/PRSS2/PLA2G2D/ATP1B2/PLA2G3/ATP2B3/CPB1/ATP1A4/KCNMA1/PLA2G5",23
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","17/1269","69/9376",0.246376811594203,1.8203538104864,2.70587201371829,0.00910793817660601,0.0495313686812948,0.0376721696693754,"PRKG2/EDNRA/AGT/CACNA1D/CLCA4/EDN3/ADCY5/PDE3A/PRKACB/PLCB4/CALML3/EDN2/ADRB1/KCNMA1/AGTR1/ADRB3/ADCYAP1R1",17
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","9/1269","28/9376",0.321428571428571,2.37487335359676,2.88249605467071,0.00915902272568592,0.0495313686812948,0.0376721696693754,"ALPI/AKR1B10/AKR1B15/MOCS1/ALPP/ALPG/TH/PAH/TPH1",9
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","14/1269","53/9376",0.264150943396226,1.951677892264,2.74875755527361,0.0091618716635921,0.0495313686812948,0.0376721696693754,"PTH1R/SLC8A3/PRKACB/ATP1A3/PRKCB/PLCB4/ATP1A2/ATP2B2/PRKCG/ATP1B2/ATP2B3/CALB1/ATP1A4/SLC8A2",14
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","20/1269","86/9376",0.232558139534884,1.71825462275734,2.64731829641884,0.00964024325258097,0.0496339530836595,0.0377501924883325,"SNTB1/CACNG8/ITGA2/SLC8A3/CACNA1D/ITGA11/ITGB8/LEF1/SGCG/LAMA1/ITGA8/ITGB7/TCF7/CTNNA2/CACNG5/CTNNA3/CACNG4/NOS1/SGCA/SLC8A2",20
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","12/1269","43/9376",0.27906976744186,2.06190554730881,2.76118717248838,0.00973869560455277,0.0496339530836595,0.0377501924883325,"DGAT2/CD36/CEL/FABP1/MOGAT2/PLA2G2D/FABP2/PLA2G3/NPC1L1/MTTP/APOB/PLA2G5",12
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","11/1269","38/9376",0.289473684210526,2.13877483306375,2.78284544479761,0.00981155678518689,0.0496339530836595,0.0377501924883325,"HSD11B2/ATP1A3/NR3C2/PRKCB/ATP1A2/SCNN1B/SGK1/PRKCG/SCNN1G/ATP1B2/ATP1A4",11
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","11/1269","38/9376",0.289473684210526,2.13877483306375,2.78284544479761,0.00981155678518689,0.0496339530836595,0.0377501924883325,"CD79A/TNFRSF13B/ZAP70/CD19/TNFRSF13C/CD8A/AICDA/CD3E/IGLL1/CD3D/CD8B",11
NA,NA,"hsa04517","IgSF CAM signaling","55/1269","299/9376",0.183946488294314,1.35908768656225,2.49661342905728,0.00989810047044077,0.0496339530836595,0.0377501924883325,"SPTBN2/GRIP2/PLXNA1/UNC5C/ANK3/ACTR3B/ROBO2/UNC5D/PALS2/TUBAL3/EPB41L3/CNTN1/SLITRK3/MPZ/GLDN/LY9/NECTIN4/SPTBN5/NTRK3/NTN1/PLCG2/PRKCB/TUBB3/CD48/NLGN4X/NCAM1/ITGAL/CNTN2/CD96/SLAMF7/CADM3/CADM2/ROBO3/TUBB4A/PRKCG/CADM1/NLGN1/PMP2/SLAMF1/ANK2/SPTBN4/BUB1B-PAK6/SLITRK2/MAP2/MYLK2/KIRREL3/MYH11/IL1RAPL1/MYLK/IGSF5/SH2D1B/CD209/MYL9/LRRTM4/PTPRZ1",55
