"gene_id","GSM4284531","GSM4284532","GSM4284534","GSM4284535","GSM4284537","GSM4284538","GSM1228184","GSM1228185","GSM1228186","GSM1228187","GSM1228188","GSM1228189","GSM1228190","GSM1228191","GSM1228192","GSM1228193","GSM1228194","GSM1228195","GSM1228196","GSM1228197","GSM1228198","GSM1228199","GSM1228200","GSM1228201","GSM1228202","GSM1228203","GSM1228204","GSM1228205","GSM1228206","GSM1228207","GSM1228208","GSM1228209","GSM1228210","GSM1228211","GSM1228212","GSM1228213","GSM1228214","GSM1228215","GSM1228216","GSM1228217","GSM1228218","GSM1228219","GSM2322216","GSM2322219","GSM2322222","GSM2322225","GSM2322228","GSM2322231","GSM2322234","GSM2322237","GSM2322240","GSM2322243","GSM2322246","GSM2322249"
"WASH7P",8.94104536579635,8.7518097321549,8.7863048391386,8.22382025684433,8.45004462444788,8.44554726873357,7.54403180704604,8.41737459117738,8.36572766489249,9.07179096161441,8.7582767923719,9.03482339626652,8.51359991674825,8.08671422959338,8.85145645510002,9.37467139379506,8.84780918090354,9.06825007274418,8.31366559198665,8.1279505617829,8.49488575152313,8.31838182260258,8.58776054611272,8.32168745539442,8.00758803544744,8.46635848040244,8.17063052332145,8.54708860126333,8.77169499296632,8.88661403873536,8.63414869299623,8.7816283270664,8.73600661755773,9.24806108309587,9.06526424655321,9.05655177824566,8.84027984365096,8.61431470058518,8.79104622165876,8.35559910895011,8.55278235549409,9.05120127533406,8.45409714160293,8.33189568696408,8.76897556519037,8.8854891887264,8.17529460424067,9.33006129638462,8.39386366589826,8.4044112792008,8.75870247494223,8.96384357035186,8.64493150544316,8.44515886429344
"MIR6859-1",4.85188753314217,4.76028834337383,4.63010312601017,3.96589173784925,4.21987570034164,4.40498169206302,3.93691754850643,4.05579219051712,4.34637023075498,4.82424415489357,4.78752387186911,5.11401140338574,4.47967902751555,4.07758405618964,4.42186974343008,4.81806331304822,4.62860813400217,4.43603959070397,4.50587803537024,3.90568044734208,4.32176665377539,4.3626728047102,4.64670302319559,4.53396905804666,4.11582070271023,4.13180358739724,4.27490722893472,4.57679269598553,4.65446997545141,4.68879918426092,4.68298623521698,4.59012025658511,4.71546741291417,4.7787285013085,4.58706542883928,4.26066699112564,4.57199662773127,4.34835280914693,4.75387655125301,4.00054359410597,4.16317716627496,4.68927909520369,3.60369835659867,4.32598558589536,4.89723252532986,4.63902479656287,4.62251374233775,4.96743935751122,3.59658802528697,4.51908456984325,4.74283653890088,4.71145127500735,3.51380217334116,4.26283670884259
"WASH9P",5.25010119441739,5.36187211829189,5.08462486457394,4.94623217347113,5.36209152563235,5.65002478312415,5.67116234589816,5.99756238225446,5.61215898280079,5.63474175449851,5.79906843771675,5.9685650878767,5.56545635973307,5.48513109279774,4.95100315583425,4.72957462335533,5.24293427837651,4.87099923787727,5.38319358059198,4.80747287806653,4.43858831998966,5.22123381217732,4.27525475522795,5.12499087825233,5.93996558172067,5.02413119946985,5.43040020956704,5.14987554459389,4.86418184542028,5.23131778043896,5.50884440290802,6.09349256618332,4.8857017835342,4.84698252019103,5.29459672111269,4.59699778453008,5.42714682385839,5.12388206101351,5.39730868277584,5.13466365369116,4.87065935052772,4.98562953509041,5.03929038084594,5.15221374534687,5.27637488734875,5.33544356140389,5.59179852063035,4.83175045273588,4.5886062169089,5.6746298451822,5.75308826164509,6.01548680861107,4.89097628125039,4.88174567646711
"LOC729737",7.16983426659619,7.8332826862447,7.08140806465894,6.39003010587344,7.86528279674294,7.77275674934275,8.35272779044106,8.46404222452373,6.57164938403345,6.12821784523299,8.43561029361976,7.87256057654836,7.26258036171007,7.56535465918755,8.11240852477811,8.30549256575906,8.21538999737805,9.54063954132845,7.19195250119204,7.03009339732826,6.38470577214901,7.22982778182174,6.19691484415942,7.46900818687216,6.95159448677472,6.85187392734003,6.54262082355112,6.32208375587994,6.79398870956468,7.02125387587752,6.72239121663965,8.31418451215986,7.08819491716227,7.75097236354075,7.72451599738188,9.00312297649019,7.8423254074642,7.06889344514903,5.80778039611541,6.46065143638108,6.0299372640294,8.05116951521669,7.49470472182844,7.01126950541674,6.4589851748933,6.78527831318738,6.61466251577529,6.90408957231344,7.33459170505796,9.35023386658437,7.39929222122722,8.03148641182913,7.65106615186639,7.4795542370507
"LOC102723897",9.33352401384375,9.163064932545,8.95140385298307,8.52320273474628,8.13425196903856,8.22654613405443,7.69408910333475,8.5045541534296,8.54315102464392,9.17353325445404,8.78808217105922,9.01703221306618,8.51359991674825,8.38764785286583,8.91117961582463,9.57844630213747,8.8120626948783,9.19625998216584,8.5209937714539,8.35476814999971,8.75736862476143,8.38348143075852,8.53937099728977,8.35661949460706,8.05320492101601,8.55623944420908,8.56786648138166,8.67792737187427,8.89885186047378,8.86148937886808,8.61333817660172,9.01562876481016,8.8094207762544,9.420112958278,9.08275558464592,9.3212110740146,9.04317212381425,8.92259209547307,8.8516216929015,8.60820233734568,8.51802859005656,9.13031658075017,8.5726950475628,8.42104317483909,8.89530226653712,8.92332516091403,8.49540790409212,9.48182396617788,8.49945187396192,8.41202906593212,8.93041009026048,9.04117290232312,8.66153418753161,8.66025675371473
"MIR6859-2",4.55241092001972,4.68864034788283,4.50178988839754,4.47709079354512,3.98215384509641,4.13910283821682,3.81367564454538,3.99042320970242,4.27549354891213,4.68503658493025,4.75328055146176,4.842779096313,4.70307238732198,4.23780798144566,4.2570830851214,4.77459890580848,4.47550337406651,4.49978265147017,4.30225973433065,4.06020429007013,4.25842826573847,4.4299296839526,4.64670302319559,4.35934432693291,3.9892705278791,3.77144764951524,4.32097254230756,4.43201199305429,4.46965410187076,4.43935270080071,4.60336354269168,4.68355892401704,4.51800777860105,4.62989649962811,4.40070454192111,4.49536633268085,4.57199662773127,4.28954380468535,4.52559291979286,3.88451460640382,4.22281459919971,4.53692075834884,3.60369835659867,4.32598558589536,4.74143606151669,4.49880222955792,4.48333701865998,4.96743935751122,3.59658802528697,4.38659400822119,4.59617534673334,4.71145127500735,3.51380217334116,4.26283670884259
"LOC112268260",4.46437699046602,4.1332399320765,4.27816350534479,4.30061201826952,3.98215384509641,4.62021897944701,4.09554191479293,4.59146591296724,4.19968303574373,4.72132221353049,4.06642397657343,4.55279792252357,4.41657686811416,4.61329956890811,4.06244407387332,4.29194913820522,3.96474756780854,4.13724615235661,4.15932790308591,4.06020429007013,4.11927451603327,4.04242149195711,3.95659856923207,4.58684333173713,4.58980963233793,4.13180358739724,4.32097254230756,4.62138620110588,4.07360939966788,4.19181331203511,4.15721369085861,4.85161382901952,4.06106393467146,4.26136812967339,4.74834612145571,3.76369278876819,4.19587136207692,3.84240406421047,4.15816947556408,3.58987851684399,4.03238981986045,4.29722844772631,3.90346475430471,4.62331603203749,4.56330118035522,3.92621353562225,4.32529523943134,4.05214275881378,3.89371738853152,4.51908456984325,4.59617534673334,4.45147362640974,4.2845599380324,4.08526907538422
"LOC100132287",7.02472316731743,7.12121314451466,7.19897113618688,6.48470318420203,7.41111342146311,7.32487420269883,7.43320124542327,6.94741090335729,6.7645214439983,6.3495418705293,7.94351447923781,7.28831220242382,7.36306704116227,6.75406784424997,7.29895837783422,8.00568693181294,7.68532364333393,8.36493392513595,6.90341484674338,6.46385736504242,6.63279206139083,7.58968542545478,6.61879551638766,7.11568411481975,5.99511294666392,6.09227199721937,6.37205563420772,6.5402448412028,6.75769167749799,6.66628029123864,7.22253900876638,7.89362343691359,7.15202429102288,7.49658011993995,8.24335899616351,8.41403366739856,7.68933529622165,6.7831283629871,6.0665409956969,6.59697994645787,6.38170487574343,7.73650431988896,7.0019813653364,6.55387758863478,6.20169623378845,6.81252493702503,6.58397830603635,6.83868961375375,7.20587722600138,8.25145345804415,7.37877253629364,7.89522203785516,7.35657441771906,7.26820618485869
"MIR12136",11.6504438479576,12.3773354984969,12.6443324083201,11.316654904296,8.22695188665233,9.14322928652783,8.5613363741678,7.37077150690098,12.2858161611118,10.2438284985917,11.0308123831108,12.3269213284125,10.1024376886226,9.87277699013883,8.81741520520541,13.0499982306868,12.9576603476567,13.3219102949792,10.2693533233023,8.23139929718426,8.30480583510598,10.6714518369069,9.64551628632213,8.24917586644047,10.6779598317754,11.6033548405272,11.8078150629562,11.3157242576597,11.4924345803544,11.3947125203946,11.4184640965481,12.6219042544243,11.6478406710606,12.5447222655391,10.2423108811853,12.6622251019684,9.57562072946884,10.3331270302252,10.5759112108633,10.1624247903823,8.82874178307626,12.5429028842227,13.0032144744518,12.6249849023787,11.4017040876933,9.70606450434416,9.47085545356108,11.7782163452201,11.315022944042,8.30153203965014,9.39049471646318,9.33676251209361,11.2361028085375,11.7641198964718
"LOC100288069",5.20005707206227,5.2230250312476,4.80034698230098,4.7663539704213,5.76147534164569,5.8192537847937,6.36990808524433,6.22213782884113,4.53576748796553,5.86561866526814,5.86117332378439,5.9685650878767,4.97707940186563,5.17884701904504,4.81081136303473,4.07089238399239,4.08886332142059,3.94804494918971,5.95954112850342,5.18904109721856,5.49800308958165,5.73651068702099,5.18924796183999,5.37159217280694,4.70109439405425,4.87451301179154,5.44897753831885,5.41188250919898,5.12564754607163,5.54688896264897,5.98992286002592,5.06830798713599,5.37791478517249,4.84698252019103,5.07933261418357,3.95972495206139,5.58364689984272,4.69283317512086,4.9907435780785,5.9264645664963,5.87951386063691,3.98931183589797,5.50250893345195,5.15221374534687,4.56330118035522,5.54957244316957,5.5275684214964,4.67976381367537,4.82344879335407,6.90446760245459,5.10197545136541,4.92606957713939,5.17641237261878,4.67062983073669
